NAME : out65.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 8852211.44 4608123.29
2 736709.196 9348431.51
3 4175825.03 4092955.08
4 914119.122 31022.988
5 3525532.92 8217501.09
6 9527531.37 8410649.1
7 3318109.03 1158240.87
8 6813354.03 5563439.6
9 907310.115 6316873.86
10 3981805.32 6491301.4
11 7962415.22 6353713.76
12 7090149.63 4596613.42
13 7332625.63 7792876.75
14 1028583.69 7672138.1
15 3216231.93 3632773.06
16 7099215.01 609167.779
17 4375973.81 5732866.88
18 3828331 6701992.64
19 6938377.66 7201343.41
20 9529016.76 7729872.56
21 1712929.8 3982816.72
22 9974361.98 2663996.23
23 721852.474 4911638.58
24 3331924.16 1658051.94
25 7054700.63 8682128.98
26 6251914.23 7019542.8
27 9961406.11 9856754.58
28 2272063.92 2323392.13
29 7508786.57 4197930.15
30 5351801.91 3815489.28
31 1012925.08 7081767.58
32 303685.876 2742923.79
33 8011757.01 6968768.3
34 6436714.37 9964231.77
35 6299373.01 865197.2
36 694449.419 4630278.93
37 9690984.34 9502551.82
38 4183091.65 8470669.41
39 8092613.17 495348.753
40 7934130.63 7469466.95
41 2246416.27 4676588.2
42 6366117.79 288586.278
43 9042271.94 9527896.71
44 2910915.66 3706396.46
45 6681300.81 4261390.28
46 7367605.82 6558599.25
47 3836226.7 3398311.19
48 936597.01 5786796.03
49 7504218.62 4313758.68
50 7714492.28 1094814.91
51 2131200.18 6329990.13
52 4475318.52 7694467.26
53 5531913.68 9124416.59
54 2118529.43 9976103.65
55 1862854.39 9018194.87
56 1631120.49 9070486.52
57 1359956.09 7125601.65
58 76137.6452 626698.131
59 7023910.06 7947174.63
60 9317142.49 1979042.38
61 916245.382 9152096.42
62 5493188.57 4580484.9
63 95314.0441 6919384.38
64 7463159.96 3697165.88
65 6870789.94 2821389
66 5878514.13 4069869.63
67 8124739.24 1520375.91
68 9104250.79 3662333.02
69 2852754.1 7193710.78
70 8862953.75 8959548.57
71 1330724.05 5890632.89
72 1970873.95 9194765.93
73 1607261.69 5399851.35
74 4710428.44 6098195.56
75 9162980.01 6787382.1
76 46390.8247 9743493.64
77 5450053.28 8531310.3
78 1281720.26 914133.94
79 1287742.72 2273549.08
80 627480.305 2387889.67
81 9185838.19 9250060.23
82 3932441.39 2905481.88
83 6486901.12 4159181.07
84 7378114.28 2574943.57
85 6136329.79 2198687.56
86 7142712.32 4390313.27
87 3218570.22 8048480.5
88 8426663.06 2207745.87
89 3172513.2 3985330.56
90 8926524.9 685006.93
91 3461185.45 9644724.84
92 2320275.82 8340717.94
93 457126.625 730360.281
94 4632428.26 6366016.41
95 7274377.74 2338127.5
96 5746002.62 1160084.22
97 8205889.71 8082721.97
98 663269.676 9434956.5
99 1836266.94 793577.168
100 5546536.73 1911571.83
EOF
