NAME : out60.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 7355424.83 1558415.61
2 4229338.45 2070461.01
3 2393452.32 1954634.5
4 2468205.37 6905507.32
5 7971435.91 8152488.16
6 3975489.32 6229369.86
7 1392551.34 2792299.64
8 8802096.45 6609902.93
9 1082143.69 7480705.77
10 8578140.76 9622890.61
11 3916432.8 1118051.39
12 6085109.98 7064219.14
13 8582505.16 2523989.43
14 7300052.44 7304299.14
15 7489247.25 2600021.9
16 7845026.35 8518039.12
17 4191646.54 819976.126
18 6618234.76 8837542.28
19 2088029.89 8115812.43
20 146764.293 508369.576
21 3683039.33 9082655.52
22 9964223.44 8912155.23
23 612436.144 5901655.63
24 2168769.59 7968220.61
25 1697377.34 466917.651
26 8611470.47 7314113.02
27 1238411.24 542152.709
28 436823.672 2056363.78
29 9348263.47 154297.952
30 6249596 9958902.81
31 2252578.5 8567977.6
32 2644553.86 4561944.45
33 2946077.49 5736383.25
34 7826877.25 6443285.03
35 852716.768 1788964.67
36 9876367.44 9082133.28
37 4132927.58 5080808.54
38 157597.858 4784044.04
39 9761656.67 6241493.01
40 5686409.23 1311960.93
41 8534937.87 2901016.1
42 9967947.52 8141095.96
43 730304.525 5707091.56
44 4498427.84 9595067.57
45 3730555.82 5750918.41
46 45069.2189 1831093.67
47 6199673.56 2119666
48 9416489.89 61186.3489
49 8287931.86 5667172.1
50 7853423.51 7638139.16
51 7841545.42 7059228.08
52 3482726.37 8922416.98
53 1887916.7 9037222.46
54 8512434.74 4328573.95
55 5590040.27 1693723.4
56 4466929.22 6674918.62
57 5215519.23 6001815.99
58 8130886.5 4266630.31
59 7904342.84 2872982.24
60 2829252.71 6327829.22
61 3087539.28 6534968.93
62 1310815.69 6006747.51
63 935003.432 4999766.55
64 3577737.18 6439695.69
65 9570423.92 5934790.89
66 3716080.16 6374939.33
67 9399775.36 6338499.52
68 4406353.01 7448606.96
69 2751301.43 8960837.3
70 5251043.86 3635764.84
71 3268311.22 534052.842
72 2973621.86 5408747.81
73 8572676.81 1025748.23
74 8156276.07 5766889.83
75 7854643.82 1070181.92
76 1099203.68 9809001.89
77 3527824.78 9565633.91
78 5804367.46 790382.394
79 2255908.58 8173633.85
80 3564841.06 8671718.49
81 4763204.96 6397021.53
82 7628579.65 129314.912
83 618486.827 524079.824
84 8386655.13 7140449.24
85 3314897.42 2257297.95
86 4346648.96 9122624.23
87 5033377.92 366379.212
88 6526842.04 9215325.59
89 3004258.66 8709745.61
90 5621272.49 3340064.97
91 1336711.2 8244729.91
92 3782580.74 9010097.95
93 3322925.88 6770400.97
94 6278028.12 7901710.98
95 7547103.88 1604853.43
96 1198855.58 1592809.92
97 7563416.64 5243227.33
98 4082124.57 5144747.01
99 2679741.05 2664464.75
100 8921880.33 3340716.93
EOF
