NAME : out55.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 6190762.07 3802693.99
2 584077.002 7907245.47
3 267335.532 4039644.41
4 616032.468 7808738.37
5 5844572.02 3062263.1
6 4127964.32 6571753.1
7 1217835.63 3493473.03
8 8776690.98 3589085.96
9 5552013.02 5833028.95
10 4592245.01 265320.689
11 2129302.14 8408622.92
12 3581056.66 220165.52
13 9045632.17 1269214.69
14 8622065.81 6386655.98
15 2376253.42 6029423.61
16 1780102.33 5860209.98
17 9000348.3 5046906.48
18 6446798.88 2570891.85
19 5321698.3 9100439.72
20 4385644.86 7125322.57
21 2461172.69 6058909.21
22 2038358.18 4343712.99
23 8179385.73 3724325.89
24 2737404.67 7545024.28
25 21643.7628 6735865.37
26 5130157.74 647628.451
27 5446974.47 1106026.83
28 5147922.32 2991179.05
29 7580885.6 7071654.43
30 618361.781 4174267.98
31 6737188.47 195110.085
32 8973325.4 9704097.49
33 893133.08 4599127.12
34 7262073.29 5898585.87
35 28640.3875 1233624.76
36 2972594.83 5029589.44
37 5995791.94 6776778.45
38 8395083.14 8836695.99
39 3955408.43 3853790.2
40 7079317.75 6905511.13
41 2564786.39 7459763.58
42 9391751.81 1765596.73
43 8639397.5 7809724.45
44 4826078.34 7749438.36
45 965688.859 8883820.7
46 244516.285 8295471.16
47 3551245.19 3839946.07
48 2392961.4 7781209.75
49 4437917.8 7649625.89
50 5561671.32 5648203.88
51 8319754.6 8129652.49
52 1059199.72 4123629.08
53 2199321.8 3951972.17
54 6220968 7010483.64
55 5627864.33 3490802.6
56 9104019.57 3237781.7
57 2575930.19 7135253.59
58 7271589.01 4218903.25
59 7882588.94 3263643.15
60 1601617.54 6081754.31
61 9132064.08 4296640.04
62 2286697.26 9790251.92
63 5376756.29 9073100.32
64 6293388.81 165723.217
65 9957719.14 5577528.87
66 625109.294 7270120.24
67 9884180.45 4174578.03
68 5764828.81 1327528.99
69 9074749.9 7213936.15
70 3181614 4447555.35
71 8160009.03 8390108.59
72 4504912.13 4166839.21
73 9987005.85 9930440.17
74 7052133.62 5573115.86
75 2609363.62 579110.218
76 5010385.24 1092262.24
77 2647075.54 8797767.5
78 8593933.83 3043742.09
79 3331184.92 7413970.53
80 5648333.4 5899207.7
81 7645856.64 1642474.05
82 5869879.79 7770959.33
83 1901001.75 6217956.23
84 1559435.59 910356.267
85 8803818.32 8356738.01
86 1510115.47 7440867.36
87 7094391.01 3566619.04
88 3117060.03 5275079.91
89 5046077.46 1529442.63
90 6495111.91 7419618.36
91 8404886.35 1471763.38
92 9914783.39 8318751.97
93 4658566.38 3521602.59
94 3006513.67 7775718.76
95 5307435.29 7617675.88
96 2576031.01 6963117.09
97 2591473.19 3892367.08
98 2127070.16 4614919.6
99 876124.521 7968434.76
100 3362201.53 6697744.14
EOF
