NAME : out92.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 2897401.68 7970775.08
2 4914640.55 1115967.67
3 5790166.71 5122092.8
4 6524648.36 1702619.34
5 2630554.64 6748088.41
6 8834483.96 4625916.95
7 3294442.19 7029658.48
8 2003998.52 8097665.18
9 255826.159 6642503.34
10 8090818.44 3038419.59
11 3478535.31 6274216.14
12 5624539.04 1742369.8
13 5051093.58 7457974.1
14 4216400.4 5897386.47
15 1658200.12 9487881.39
16 1653229.56 3794947.29
17 7619248.67 5193902.87
18 5704830.69 732495.733
19 7874442.03 3194887.01
20 9047113.05 4072499.33
21 4880022 292490.685
22 3304247.39 7862238.62
23 2165958.81 8206836.56
24 9148507.12 1536263.9
25 8422421.9 7566852.01
26 4693822.87 5006255.71
27 3264265.13 752752.177
28 9621137.6 8243731.62
29 8588482.8 6584969.12
30 9935398.12 4324698.15
31 1344132.54 7490484.14
32 7081665.14 7957320.09
33 6502935.7 5277078.89
34 1585019.13 4426318.25
35 991011.339 8618495.34
36 4464381.05 6462767.69
37 7868757.64 750813.544
38 6227056.14 2295610.68
39 6710614.72 5018967.9
40 9977975.95 7950212.54
41 1482804.05 9981511.09
42 3550392.4 7907626.44
43 5235509.43 2716220.91
44 5278297.16 8204606.61
45 5045073.12 2056227.1
46 5576956.57 1402110.62
47 7420326.86 6118919.95
48 6170339.47 6070554.09
49 6833349.57 6815063.35
50 1710448.88 2878572.6
51 5807333.63 3656014.6
52 790624.946 6468228.05
53 2282552.55 8801747.23
54 7236263.51 955420.195
55 5381005.24 4944052.26
56 7947335.55 2256313.09
57 6433777.04 1921777.52
58 7196112.61 7144803.67
59 7214848.95 514421.831
60 6047717.31 6991291.66
61 9240925.97 2207755.26
62 1167241.97 9067647.7
63 8396087.28 9436560.94
64 1105427.14 100503.126
65 4830511.94 4723194.08
66 613268.989 9195188.38
67 7837833.18 4139625.21
68 22414.5741 7207281.49
69 2200577.18 4753672.93
70 8067878.56 4411044.61
71 6939905.85 7216679.07
72 601899.122 4905866.07
73 5889566.45 1733141.39
74 8773025.8 6820019.66
75 4035836.55 1057803.36
76 846280.104 460343.269
77 8079460.32 6339711.3
78 2773466.21 1477144.77
79 2770504.35 4821041.91
80 2300150.4 9418976.06
81 885137.219 7991246.21
82 8701433.38 8729397.81
83 7286325.55 9565316.35
84 6937536.57 260437.4
85 3709338.28 7235990.09
86 6730097.33 5932903.77
87 2431826.75 4464089.69
88 9804354.77 8542447.11
89 897981.889 2770600.64
90 4408589.76 5935202.29
91 7744837.39 8976043.65
92 4930264.16 9513985.97
93 5179430.29 4762602.36
94 8672711.36 1491027.24
95 2913008.92 8135054.26
96 447156.107 6828634.15
97 9160725.21 9778501.91
98 8229132.52 1012462.33
99 1099633.29 375435.967
100 6835200.62 5599537.84
EOF
