NAME : out42.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 1763255.88 701929.595
2 4146015.51 3077889.71
3 9438330.13 3081809.26
4 827917.332 9419254.55
5 7118719.28 8912178.75
6 9932920.13 2045551.64
7 9037093.23 46683.5159
8 1950570.32 1519607.91
9 8940179.71 4010915.99
10 804189.856 2581433.75
11 4836378.87 9096736.5
12 3187449.73 9808759.06
13 6566818.73 4690748.19
14 7572896.29 4131206.26
15 9135306.3 390771.482
16 5193061.08 577961.572
17 2904913.37 1710185.55
18 5989651.71 3434847.21
19 8154107.81 663235.989
20 9643552 4125070.89
21 1449831.6 1811632.85
22 3063038.68 7619005.84
23 6539208.64 306171.667
24 5916062.01 404279.941
25 6499036.57 4363924.52
26 633182.86 4896942.85
27 5189742.99 6303482.31
28 2694836.4 8569983.8
29 3817512.85 9491979.19
30 1125599.8 6859506.82
31 7585066.95 9013189.49
32 9520846.26 4176202.41
33 5123638.67 466378.566
34 9541370.81 5870903.33
35 2183230.63 872199.914
36 4666881.7 4036329.62
37 9516332.78 9367495.07
38 353019.649 6073210.33
39 9111650.36 5986382.34
40 6679569.64 7804373.34
41 6484149.56 6994011.44
42 6105972.35 3832506
43 5652985.07 4724688.67
44 6011514.12 6661353.86
45 1257795.03 8825959.75
46 6653489.23 9905375.01
47 7721825.87 1078930.61
48 9940747.03 9099367.43
49 8683154.33 2202929.82
50 6635736.34 4631891.89
51 4435007.81 332544.117
52 9000497.99 6334866.16
53 8178259.52 2326338.12
54 4477413.64 4237607.96
55 6707790.85 8292841.06
56 7167901.78 6397968.89
57 6851436.47 8149853.17
58 7608019.39 2153072.54
59 410284.522 7444616.53
60 37736.1925 4111279.25
61 2726943.8 3541713.2
62 1856868.74 859615.25
63 4082866.91 2011880.75
64 9944583.91 5904130.35
65 3167127.01 3762450.78
66 8608962.89 818244.073
67 6940536.22 431790.335
68 7933158.83 2590352.43
69 1270749.63 8650044.02
70 8139710.52 1441904.36
71 3940734.32 8985903.49
72 3032835.91 8260511.73
73 2485893.86 9576712.5
74 1315120.55 868209.074
75 7230197.16 1659626.09
76 5796166.18 341107.842
77 8910245.63 5990850.99
78 2200938.08 4853106.92
79 8006023.77 5538691.12
80 7999974.53 9573783.49
81 2035733.62 6093771.26
82 6928604.94 1664946.55
83 7347278.5 2297037.62
84 1947256.37 4967656.04
85 3571690.76 5276639.25
86 1228904.38 3814681.41
87 345903.426 1229446.55
88 7122426.01 5470204.58
89 1826612.88 2642759.95
90 4075696.94 4561446.91
91 9781289.29 2260811.69
92 3084655.11 6171644.82
93 9516489.78 3800199.6
94 4713144.83 1695807.85
95 1355378.83 6765602.18
96 3446548.62 7915439.91
97 6183637.16 2991082.44
98 3228026.63 6893074.75
99 3343261.77 3315905.71
100 7093369.96 678490.203
EOF
