NAME : out69.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 4223473.19 4523897.87
2 3258971.42 778000.059
3 8922131.63 7436266.43
4 6916336.79 2703139.79
5 3906264.41 4128428.28
6 7110281.72 9258841.04
7 8069211.56 5204413.24
8 9337350.56 1524536.92
9 7189286.74 8718540.41
10 2153454.03 1918057.61
11 3062466.75 1131463.71
12 3395188.77 250951.604
13 4442904.95 7774837.42
14 5909619.49 5337190.32
15 1982508.64 6117635.99
16 1728637.03 9453346.62
17 9811657.15 3993480.43
18 524659.184 1716235.49
19 7955312.54 3825055.67
20 5355380.63 3686006.81
21 9449579.11 1741476.29
22 1752636.26 2566610.25
23 797151.315 3769927.35
24 8190204.05 5968028.76
25 8139338.29 3411518.42
26 7120312.47 6624559.81
27 8101283.05 7263336.58
28 2081798.66 7633196.06
29 5853322.9 713367.906
30 7187604.73 3712908.37
31 9953052.41 6838514.32
32 209784.144 7263227.9
33 3764449.24 368527.08
34 4213906.48 7702482.75
35 8901516.52 848791.09
36 3849127.92 9176859.42
37 9217355.47 4061286.96
38 2397851.05 7177962.95
39 1134437.84 5176852.74
40 7483890.25 4478201.87
41 4324885.82 4128105.32
42 8006049.24 7382341.27
43 7349179.15 9922926.94
44 9023513.63 1116915.62
45 5106420.47 5110237.35
46 3525751.74 2894607
47 492679.488 94358.2802
48 752190.796 6523884.17
49 6088688.31 9046874.01
50 4536789.18 382244.523
51 8710158.56 1160704.18
52 5061275.66 5676905.67
53 7135656.18 3636444.44
54 3564502.13 4721132.67
55 3572783.95 1581223.37
56 6974036.93 7782817.03
57 8848068.21 528336.165
58 562640.175 4946552.22
59 2593201.17 4773727.26
60 6042326.26 5946558
61 7882886.41 3279834.54
62 6794892.91 3975730.22
63 7443319.39 5826143.1
64 6107281.37 9311423.96
65 6797988.93 8999955.43
66 8385319.69 4890981.24
67 126737.88 3497063.86
68 8376008.83 6439265.07
69 6367811.39 6522189.3
70 6001268.72 6746301.5
71 922593.054 128757.577
72 3653342.29 7721713.16
73 9236153.38 37521.7386
74 3307573.57 1104179.97
75 7808227.3 3967793.6
76 9709586.22 5322683.22
77 430808.52 1878102.39
78 8890539.29 6386809.21
79 8012358.33 4742237.27
80 11741.6215 9241685.45
81 6275907.39 7770544.27
82 6265851.65 9720472.91
83 5334242.38 9758133.1
84 6036690.42 8197845.6
85 6529625.08 9497503.86
86 859918.119 9339946.16
87 7161485.85 1722909.05
88 867621.536 2567679.74
89 5597432.05 3939002.78
90 763130.294 8487115.58
91 3134346.22 7431097.25
92 686034.449 5317604.66
93 5702195.11 9942588.46
94 5964499.41 9673568.59
95 2391636.5 2522609.67
96 5279981.4 6753832.73
97 7890661.96 8272194.66
98 6478407.21 2595784.15
99 1683445.65 5502617.21
100 476967.356 9792972.42
EOF
