NAME : out57.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 6348194.33 7796657.37
2 2345455.33 8794607.88
3 2015825.59 2361448.05
4 9544934.8 5756433.4
5 9046549.65 148853.086
6 3580497.34 6553030.53
7 1370514.57 716855.467
8 9592528.76 2129416.2
9 7992076.73 3205986.32
10 525484.631 9455913.43
11 272588.226 1161866.05
12 2065588.61 4085354.63
13 5812815.49 7529455.65
14 3651624.61 1605512.49
15 5715546.32 7405630.73
16 3584609.13 1391231.63
17 7804712.68 8413335.47
18 3640725.54 3185753.89
19 5968805.79 4541155.83
20 6974752.4 9974012.38
21 8605700.31 248522.418
22 9354078.03 9473290.06
23 1317023.19 1119597.39
24 9714936.2 3007148.95
25 8549458.33 598435.603
26 8694114.29 9319658.27
27 6430416.25 1279386.39
28 6102731.07 5783166.85
29 6085943.09 439636.833
30 8954000.14 6468617.78
31 238565.276 1726303.2
32 7635879.31 5585025.42
33 9631272.59 5692206.22
34 4469148.16 2640901.59
35 9965917.35 3735383.72
36 4374400.46 7271461.95
37 8021991.19 1564364.99
38 4936507.28 2143567.76
39 7806930.9 2265804.57
40 4602296.64 2484932.78
41 3817519.76 4637721.51
42 3651559.51 2388022.5
43 319873.759 422231.135
44 8222637.17 6207198.04
45 7664007.34 871412.982
46 8306691.71 6136510.75
47 2498828.09 378331.708
48 306276.855 4713181.16
49 8696337.61 3058844.65
50 6409121.34 1114861.42
51 9515954.98 314253.972
52 2993864.15 7440160.59
53 6809985.93 3638586.98
54 9033086.72 6713798.35
55 4489369.45 6374389.28
56 2142883.6 13732.411
57 7296162.74 564793.605
58 7156276.83 8677140.6
59 9035609.03 5703182.23
60 1952737.48 5896446.61
61 325697.041 7974084.05
62 5628761.83 7151716.35
63 8787646.75 1037390.84
64 5941742.17 1426970.5
65 2016131.3 9585690.86
66 168349.159 2941701.99
67 8725977.6 2574698.43
68 8954515.67 6093409.48
69 4737188.18 2214598.38
70 5921862.3 4240040.06
71 4765097.13 1075655.75
72 5316927.94 9654481.47
73 2951766.34 2303293.29
74 9914652.83 6916264.28
75 8254145.73 6992277.72
76 2171175.56 2869961.27
77 3159725.17 2827080.72
78 7616054.37 9224950.79
79 8353457.28 1827250.53
80 2147674.96 2008267.2
81 335809.33 6662220.97
82 493709.983 4139424.68
83 4860542.41 6577185.64
84 1618892.12 2917087.12
85 3346797.85 5323825.18
86 562991.357 2203714.52
87 6076032.55 7285817.3
88 9113069.46 241666.533
89 1344907.17 6896296.61
90 202633.147 9626466.54
91 6547039.15 6855232.84
92 46870.1539 5776039.85
93 6290575.21 1372143.95
94 7785556.09 391974.651
95 7333599.58 5881223.24
96 9725082.77 1538127.37
97 7540531.76 9647337.76
98 7872302.07 3248950.41
99 8635770.68 6592040.79
100 4328935.48 5330794.81
EOF
