NAME : out87.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 3277652.49 6884163.5
2 4362529.87 6235778.73
3 3398774.36 9624657.42
4 9114647.22 6594895.95
5 8834941.44 8634009.39
6 1303887.61 5691769.59
7 227529.908 8413115.07
8 5261493.51 2455541.26
9 1761469.22 282632.699
10 3370443.36 7266104.9
11 1675386.29 770955.787
12 3681358.88 5741557.61
13 6969495.34 3748931.35
14 7470736.01 2234748.18
15 6241448.85 3941236.26
16 3020995.65 8609817.83
17 6393693.35 9730089.19
18 484122.884 1694156.76
19 1971066.88 2531050.07
20 2695982.85 979953.899
21 4997005.82 2441648.65
22 4465961.14 5056535.8
23 4263976.03 3492921.97
24 1582953.72 5861609.55
25 1670898.96 1820212.44
26 1038329.24 3984287.84
27 5831316.63 6466049.57
28 3817791.43 7422362.19
29 1417674.64 5078144.51
30 2965377.69 8953737.68
31 3745557.14 8798925.36
32 7876956.77 146426.025
33 5296727.97 4401735.96
34 436313.806 6450030.41
35 9216653.83 6292488.49
36 1028330.71 7904321.28
37 2038879.51 8758104.18
38 6068176.77 4422583.1
39 348205.231 5524059.23
40 4673752.51 1475380.2
41 47081.601 3549270.43
42 6216060.33 5836165.39
43 9777578.9 1611348.2
44 1126724.45 9329649.23
45 3954771.99 5204977.41
46 744509.056 3612999.59
47 3445826.08 475027.716
48 4508063.11 266338.159
49 2730976.87 72680.8484
50 3679258.21 3894922.69
51 5111191.32 9742648.52
52 4365135.09 2954488.61
53 9954530.49 7702394.7
54 1534647.69 9839845.13
55 2986553.61 3162888.32
56 1479226.74 9605641.85
57 1780165.08 2406669.9
58 4404824.51 5462789.38
59 6163352.37 3564135.87
60 1065735.51 8373633.21
61 202592.603 4970266.37
62 8351900.49 3419447.45
63 4594914.2 6138702.05
64 6598862.86 6038755.4
65 9890625.13 1736338.08
66 3566354.87 4163221.8
67 7278955.62 6147247.72
68 2110834.69 2050861.22
69 6230692.58 6226767.62
70 3266278.8 3633817.91
71 9631991.14 8455017.78
72 9709593.26 927673.217
73 7228482.38 8417337.82
74 8573995.93 3390016.04
75 649476.585 4575352.83
76 2767872.55 271397.156
77 2414799.92 7282252.46
78 5875804.11 2448177.23
79 5770026.35 6815405.38
80 760866.828 5703015.72
81 1083125.63 1466390.55
82 6075451.16 3421433.01
83 2747229.16 439179.266
84 4433326.5 9948045.75
85 1085921.93 1278597.15
86 1931462.46 1669952.24
87 512236.161 3520597.97
88 7851873.33 6302172.25
89 4520750.33 4393474.64
90 4843730.67 9544672.82
91 6919527.13 5098833.42
92 9564331.95 4274812.22
93 8834224.71 9342279.2
94 1712706.61 8361713.7
95 9352155.59 2349846.08
96 9772152.68 7192895.28
97 1951717.72 6308275.81
98 1372343.83 6001571.01
99 5092180.9 6294941.16
100 9871329.47 1033706.47
EOF
