NAME : out70.txt
COMMENT : dfajdgafd
TYPE : TSP
DIMENSION : 100
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
1 7594863.85 3160957.55
2 912220.984 5675012.49
3 1365522.87 5929773.8
4 7026922.36 192599.955
5 6715183.22 8493652.57
6 1854394.4 6330696.14
7 2896338.33 545095.991
8 6763063.64 6720132.58
9 396554.828 3385017.11
10 2484308.85 8768666.73
11 4887266.48 9846036.07
12 236043.273 8776068.4
13 3783239.7 4179960.53
14 2246962.92 9572842.36
15 2764938.45 3509759.36
16 8262785.55 4897193.14
17 9393315.34 1157823.08
18 6941765.06 8023767.43
19 3181453.28 8947389.47
20 1601016.88 25280.5074
21 5334495.73 3813780.11
22 5493483.33 9638425.48
23 5673899.4 3196935.12
24 6707490.34 5593433.31
25 3141246.02 4203831.67
26 3882878.13 5524509.47
27 1633105.92 2680778.74
28 969741.789 7361356.79
29 9881409.58 4326654.4
30 395283.695 1413909.33
31 9184388.6 4555036.24
32 2855527.6 8249527.54
33 9015504.04 9739324.29
34 5914719.77 7615751.36
35 4075691.75 4976054.68
36 637490.515 5630056.17
37 5569729.75 5968957.42
38 2964890.37 2190641.31
39 879089.845 4748080.94
40 8725818.45 1054683.42
41 3586939.82 9188547.24
42 453968.079 5847430.62
43 4975848.09 3008042.3
44 7324186.45 2105624.98
45 6667912.58 2297734.71
46 5691988.82 2983475.24
47 9863594.2 6193278.15
48 8680316.18 1783505.78
49 1213621.09 7837102.83
50 2716591.44 4222447.17
51 9217039.38 9189766.88
52 9159150.93 8437333.55
53 2640262.45 2487812.93
54 1605370.92 3437016.95
55 6480704.22 8766195.59
56 4528041.75 7311570.71
57 5362222.97 7139986.02
58 6672402.05 421085.257
59 457867.206 9503103.78
60 578062.627 5134618.38
61 8838219.24 639934.745
62 8529151.65 5340672.66
63 1356593.33 8609410.15
64 4111993.62 7143433.97
65 4560958 4167936.34
66 8689470.92 8495452.8
67 5374058.88 7787349.05
68 8501149.65 4591739.28
69 5342978.73 621658.57
70 5502942.58 984055.324
71 2447794.33 7873134.78
72 3460396.99 5561232.23
73 1499044.86 5864792.63
74 7049454.08 5237806.83
75 354753.169 6718261.7
76 8467037.21 8770988.45
77 6203873.3 4059700.11
78 1132173.94 5812716.11
79 2117108.98 4876847.43
80 6477576.53 5547894.53
81 1237357.87 2286100.11
82 8402723.39 2304518.81
83 9396924.66 1128981.19
84 6260209.93 625873.527
85 4079153.65 9583934.73
86 4015106.22 1495338.7
87 9542992.97 7006476.32
88 1158554.34 1461723.08
89 8819893.76 4009341.4
90 7001189.47 1353009.62
91 6518828.71 3298832.96
92 3581776.36 5626614.6
93 2828868.29 6959436.97
94 4985848.76 3407218.09
95 1827353.71 6543714.08
96 7593446.51 6801230.91
97 4107181.88 4927796.14
98 8440192.23 9135711.09
99 5779034.54 6906514.13
100 9548982.07 498083.473
EOF
